filename, language, JSON, HTML, CSS, JavaScript, JavaScript React, comment, blank, total
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\package-lock.json, JSON, 14933, 0, 0, 0, 0, 0, 1, 14934
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\package.json, JSON, 46, 0, 0, 0, 0, 0, 1, 47
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\public\index.html, HTML, 0, 21, 0, 0, 0, 23, 1, 45
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\public\manifest.json, JSON, 25, 0, 0, 0, 0, 0, 1, 26
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\App.jsx, JavaScript React, 0, 0, 0, 0, 29, 1, 4, 34
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\actions\index.js, JavaScript, 0, 0, 0, 183, 0, 0, 26, 209
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\Card\AnswerInput.jsx, JavaScript React, 0, 0, 0, 0, 28, 0, 3, 31
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\Card\Card.css, CSS, 0, 0, 7, 0, 0, 0, 0, 7
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\Card\Card.jsx, JavaScript React, 0, 0, 0, 0, 169, 1, 21, 191
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\Card\CollectionConfig.css, CSS, 0, 0, 9, 0, 0, 0, 1, 10
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\Card\CollectionConfig.jsx, JavaScript React, 0, 0, 0, 0, 70, 0, 4, 74
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\Card\CreateCardForm.css, CSS, 0, 0, 33, 0, 0, 0, 6, 39
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\Card\CreateCardForm.jsx, JavaScript React, 0, 0, 0, 0, 343, 2, 36, 381
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\Card\EditCardForm.css, CSS, 0, 0, 33, 0, 0, 0, 6, 39
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\Card\EditCardForm.jsx, JavaScript React, 0, 0, 0, 0, 359, 2, 37, 398
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\Card\EditCollectionConfig.jsx, JavaScript React, 0, 0, 0, 0, 68, 0, 4, 72
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\Card\Timebar.jsx, JavaScript React, 0, 0, 0, 0, 39, 1, 5, 45
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\Card\Timer.jsx, JavaScript React, 0, 0, 0, 0, 30, 3, 9, 42
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\Card\Timerr.jsx, JavaScript React, 0, 0, 0, 0, 38, 1, 6, 45
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\Collection\Collection.css, CSS, 0, 0, 3, 0, 0, 0, 0, 3
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\Collection\Collection.jsx, JavaScript React, 0, 0, 0, 0, 81, 1, 13, 95
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\Collection\Collectionlist.jsx, JavaScript React, 0, 0, 0, 0, 97, 0, 13, 110
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\Collection\CreateCollection.css, CSS, 0, 0, 6, 0, 0, 0, 0, 6
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\Collection\CreateCollection.jsx, JavaScript React, 0, 0, 0, 0, 151, 0, 14, 165
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\Collection\EditCollection.jsx, JavaScript React, 0, 0, 0, 0, 199, 3, 25, 227
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\Collection\GameResults.jsx, JavaScript React, 0, 0, 0, 0, 30, 0, 7, 37
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\Header.css, CSS, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\Header.jsx, JavaScript React, 0, 0, 0, 0, 49, 0, 7, 56
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\MainPage.jsx, JavaScript React, 0, 0, 0, 0, 23, 0, 2, 25
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\User\Login.jsx, JavaScript React, 0, 0, 0, 0, 83, 0, 8, 91
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\User\Signin.jsx, JavaScript React, 0, 0, 0, 0, 109, 1, 8, 118
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\User\User.css, CSS, 0, 0, 9, 0, 0, 0, 2, 11
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\User\User.jsx, JavaScript React, 0, 0, 0, 0, 152, 0, 13, 165
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\components\ValidationHelper.js, JavaScript, 0, 0, 0, 38, 0, 0, 4, 42
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\history.js, JavaScript, 0, 0, 0, 2, 0, 0, 2, 4
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\index.js, JavaScript, 0, 0, 0, 14, 0, 0, 3, 17
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\reducers\cardsReducer.js, JavaScript, 0, 0, 0, 87, 0, 0, 12, 99
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\reducers\collectionReducer.js, JavaScript, 0, 0, 0, 163, 0, 0, 10, 173
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\reducers\index.js, JavaScript, 0, 0, 0, 8, 0, 0, 3, 11
c:\Users\philipp\Desktop\Informatik-Projektkurs\mathlearning\src\reducers\userReducer.js, JavaScript, 0, 0, 0, 117, 0, 0, 11, 128
Total, -, 15004, 21, 100, 612, 2147, 39, 330, 18253
